hz,dB
0,0
86.1328,0
172.266,0
258.398,0
344.531,0
430.664,0
516.797,0
602.93,0
689.062,0
775.195,0
861.328,0
947.461,0
1033.59,0
1119.73,0
1205.86,0
1291.99,0
1378.12,0
1464.26,0
1550.39,0
1636.52,0
1722.66,0
1808.79,0
1894.92,0
1981.05,0
2067.19,0
2153.32,0
2239.45,0
2325.59,0
2411.72,0
2497.85,0
2583.98,0
2670.12,0
2756.25,0
2842.38,0
2928.52,0
3014.65,0
3100.78,0
3186.91,0
3273.05,0
3359.18,0
3445.31,0
3531.45,0
3617.58,0
3703.71,0
3789.84,0
3875.98,0
3962.11,0
4048.24,0
4134.38,0
4220.51,0
4306.64,0
4392.77,0
4478.91,0
4565.04,0
4651.17,0
4737.3,0
4823.44,0
4909.57,0
4995.7,0
5081.84,0
5167.97,0
5254.1,0
5340.23,0
5426.37,0
5512.5,0
5598.63,0
5684.77,0
5770.9,0
5857.03,0
5943.16,0
6029.3,0
6115.43,0
6201.56,0
6287.7,0
6373.83,0
6459.96,0
6546.09,0
6632.23,0
6718.36,0
6804.49,0
6890.62,0
6976.76,0
7062.89,0
7149.02,0
7235.16,0
7321.29,0
7407.42,0
7493.55,0
7579.69,0
7665.82,0
7751.95,0
7838.09,0
7924.22,0
8010.35,0
8096.48,0
8182.62,0
8268.75,0
8354.88,0
8441.02,0
8527.15,0
8613.28,0
8699.41,0
8785.55,0
8871.68,0
8957.81,0
9043.95,0
9130.08,0
9216.21,0
9302.34,0
9388.48,0
9474.61,0
9560.74,0
9646.88,0
9733.01,0
9819.14,0
9905.27,0
9991.41,0
10077.5,0
10163.7,0
10249.8,0
10335.9,0
10422.1,0
10508.2,0
10594.3,0
10680.5,0
10766.6,0
10852.7,0
10938.9,0
11025,0
11111.1,0
11197.3,0
11283.4,0
11369.5,0
11455.7,0
11541.8,0
11627.9,0
11714.1,0
11800.2,0
11886.3,0
11972.5,0
12058.6,0
12144.7,0
12230.9,0
12317,0
12403.1,0
12489.3,0
12575.4,0
12661.5,0
12747.7,0
12833.8,0
12919.9,0
13006.1,0
13092.2,0
13178.3,0
13264.5,0
13350.6,0
13436.7,0
13522.9,0
13609,0
13695.1,0
13781.2,0
13867.4,0
13953.5,0
14039.6,0
14125.8,0
14211.9,0
14298,0
14384.2,0
14470.3,0
14556.4,0
14642.6,0
14728.7,0
14814.8,0
14901,0
14987.1,0
15073.2,0
15159.4,0
15245.5,0
15331.6,0
15417.8,0
15503.9,0
15590,0
15676.2,0
15762.3,0
15848.4,0
15934.6,0
16020.7,0
16106.8,0
16193,0
16279.1,0
16365.2,0
16451.4,0
16537.5,0
16623.6,0
16709.8,0
16795.9,0
16882,0
16968.2,0
17054.3,0
17140.4,0
17226.6,0
17312.7,0
17398.8,0
17485,0
17571.1,0
17657.2,0
17743.4,0
17829.5,0
17915.6,0
18001.8,0
18087.9,0
18174,0
18260.2,0
18346.3,0
18432.4,0
18518.6,0
18604.7,0
18690.8,0
18777,0
18863.1,0
18949.2,0
19035.4,0
19121.5,0
19207.6,0
19293.8,0
19379.9,0
19466,0
19552.1,0
19638.3,0
19724.4,0
19810.5,0
19896.7,0
19982.8,0
20068.9,0
20155.1,0
20241.2,0
20327.3,0
20413.5,0
20499.6,0
20585.7,0
20671.9,0
20758,0
20844.1,0
20930.3,0
21016.4,0
21102.5,0
21188.7,0
21274.8,0
21360.9,0
21447.1,0
21533.2,0
21619.3,0
21705.5,0
21791.6,0
21877.7,0
21963.9,0
22050,0
